SSID,BSSID,RSSI,Auth,Channel,Label
Guest-2548,bb:fb:8f:39:2c:2b,-85,WPA3,5,fake
vodafone_guest,14:73:95:d4:a6:3a,-35,WEP,5,fake
Linksys-3633,a8:2b:c3:d7:48:58,-80,Open,7,fake
Shop-hS,c7:5f:ea:b2:c2:01,-89,Open,4,fake
library_free_2916,b9:0b:15:6e:d1:e7,-89,Open,13,fake
FreeWiFi_7144,9b:2e:52:a0:ee:22,-87,WEP,13,fake
McDonalds_WiFi_2594,97:16:5a:45:7f:b6,-86,WEP,3,fake
Apartment_2604,92:41:bc:b1:ef:45,-88,WPA2-Enterprise,7,real
Shop6277,7b:e0:c2:2d:7e:ab,-84,WPA2-Enterprise,9,fake
Campus Free 382,57:2d:3e:42:e2:f0,-81,WPA2-Enterprise,8,fake
Residence-6914,f1:71:06:62:fc:38,-88,Open,12,real
Cafe7836,3c:51:2f:5b:17:1a,-56,Open,10,fake
Smith-6631,b1:4b:fb:69:87:0e,-81,WEP,3,real
Linda-6663,50:50:88:67:02:78,-72,WPA3,7,real
Home_1711,48:25:af:64:50:30,-34,WEP,3,real
Public_Office7332,a4:1c:d6:ec:95:67,-88,WPA3,13,fake
Dorm_2925,af:ad:da:12:f0:7c,-53,Open,6,real
Smith-6821,88:aa:17:7c:c3:fa,-55,Open,7,real
Hotel_Free_8227,d6:50:aa:c2:00:5a,-70,Open,1,fake
mywifi_wifi_6369,2f:26:72:29:60:85,-39,WEP,10,fake
Free-Free4812,a0:82:48:a1:07:26,-39,Open,9,fake
Residence_1326,58:fa:4e:92:5b:73,-60,WPA2,7,real
Office-6697,96:93:a4:3f:ed:40,-76,WEP,3,fake
Smith-4200,a1:f8:25:24:e7:38,-45,WPA3,11,real
shop-shop7542,75:b6:96:51:1b:84,-89,WEP,10,fake
FreeWiFi_3092,88:d4:cd:1d:4e:db,-37,Open,3,fake
Lobby-4124,2d:ce:9f:05:ff:01,-62,WPA2-Enterprise,8,fake
NET_1303,11:e8:b7:50:e5:97,-41,WPA3,5,real
Campus-1626,b8:7d:fe:18:57:bf,-30,Open,9,real
Linda_1779,7a:2d:fb:0b:f4:60,-78,WEP,3,real
Home-8184,98:95:74:88:81:84,-62,WPA2-Enterprise,4,real
Building_9854,98:f1:3b:13:60:5d,-56,WPA3,8,real
WiFi_Lobby7062,d8:1b:12:49:ed:7d,-31,Open,3,fake
ShopGuest9054_,36:83:70:0c:fc:b7,-82,WPA2-Enterprise,13,fake
cafeguest9333,ce:c3:69:c8:5d:96,-81,WEP,12,fake
NET-3341,0c:38:cf:2d:00:ba,-54,Open,8,real
Free8902,18:54:da:50:37:5b,-79,WEP,3,fake
McDonaldsGuest2824,30:84:f1:7c:7f:40,-37,Open,8,fake
TPLink-2079,5b:ce:18:d3:06:ef,-32,WPA2-Enterprise,1,real
John_3793,af:9e:39:61:b5:1a,-55,WEP,8,real
Hotspot7399,21:74:07:4e:83:e2,-84,Open,4,fake
FreeWiFi 895,0f:f6:4b:5d:a2:2f,-88,Open,6,fake
Starbucks3198 Home,3d:ca:b2:bb:74:53,-78,WEP,11,fake
Airport6766 Hotspot,6f:5b:b3:e8:4b:7e,-45,WPA3,1,fake
NETGEAR7660,f1:8f:b5:63:f2:0e,-72,Open,8,fake
Residence_6609,71:e9:cc:37:d8:06,-44,WEP,7,real
Linksys_3943,7b:38:ea:6c:d8:40,-32,WPA2,6,real
NETGEAR-ENE,cf:a5:ab:dd:f0:89,-32,Open,1,fake
TPLink_9841,38:80:f5:11:79:26,-85,WEP,1,real
Library-3602,35:a7:7e:40:fe:44,-57,Open,9,fake
Anderson-114,af:48:40:d5:30:0b,-41,WPA3,11,real
free-3302,92:80:d5:bb:59:9e,-53,WPA3,2,fake
WiFi-WiFi7847,99:d3:c8:82:a0:fe,-35,WPA2-Enterprise,3,fake
Hotspot-Hotspot6139,fb:2b:2f:08:6e:f6,-74,WPA3,11,fake
TPLink-2962,3c:2f:01:ff:03:56,-53,WEP,3,real
library-yba,8b:cd:9c:a8:0c:c6,-74,WEP,1,fake
FreeWiFi_8036,c2:db:a3:c1:10:be,-71,WPA2,7,fake
Dorm-4671,e9:97:9a:2f:b8:96,-54,WPA3,13,real
cafe7298,3e:2e:9c:60:b9:8a,-88,WPA3,11,fake
mall-mall_,f3:5a:bd:99:49:b6,-82,WEP,8,fake
hotel_wifi_1087,7a:d5:f9:c7:57:8c,-86,WPA3,4,fake
FreeWiFi 6332,cf:21:a6:0e:30:09,-34,WPA2-Enterprise,8,fake
BT2665 _Guest,bd:26:55:ed:f0:2e,-58,Open,11,fake
Anderson-3944,e9:6d:c8:f8:16:28,-50,Open,6,real
Smith-3754,4c:73:4b:26:de:5e,-58,WPA2,11,real
Public_Mall6933,ee:ab:11:4c:92:ff,-35,WPA2,4,fake
guestnet5868.,92:31:ad:c0:a4:e5,-85,WPA2,10,fake
Campus9672,ba:46:07:a6:2d:dc,-72,WPA2,6,fake
Tower_1929,29:36:54:f6:c2:c0,-81,WPA2-Enterprise,12,real
Linksys_1878,2e:72:9c:23:dd:c3,-31,Open,1,real
home-home3719,a6:43:60:93:1c:04,-37,Open,5,fake
Airport_Free_9055,d2:fa:b6:40:69:ea,-57,WPA2,12,fake
Building_3671,30:b1:a5:e7:f5:5d,-52,Open,3,real
Tower-3917,e7:7c:4f:58:9b:2d,-31,WPA3,13,real
Campus_Free_5851,80:bd:14:bc:e2:46,-72,WEP,8,fake
Shop_Free_349,14:d0:61:40:05:b7,-75,WPA2,11,fake
netgear8615 office,97:dd:1b:d6:78:ec,-81,WEP,2,fake
Secure_NETGEAR9383,6e:77:6a:e5:2a:95,-76,WPA3,13,fake
Hotel_Free_5549,d7:64:a5:fe:a5:5c,-87,WPA2,2,fake
TPLink528,92:23:d0:9c:4d:cc,-44,Open,2,fake
Linda_557,bb:1b:62:6d:f4:eb,-76,Open,1,real
Home-7478,cd:b4:7f:96:a0:4f,-30,WPA2,5,real
Office_WiFi_2581,41:88:81:e0:27:91,-41,WPA3,12,fake
Linksys Free 2416#,fd:80:bf:c2:be:e4,-83,WPA2-Enterprise,9,fake
Linksys-5294,37:bb:44:91:86:3f,-56,WPA2,6,real
Guest WiFi 8846,f6:c8:8d:7d:dd:5d,-73,Open,7,fake
TPLink-1672,c1:42:cd:d0:2f:f7,-64,WPA2-Enterprise,1,real
Dorm-3752,85:d8:3c:e4:6b:80,-39,WPA2,5,real
Public2260,2c:25:5b:29:74:f7,-87,WPA2-Enterprise,5,fake
shop-3719,e7:9d:c7:25:a6:85,-90,Open,8,fake
Residence-2.4G,53:90:96:1e:40:f5,-55,WPA3,5,real
John-7489,34:ed:af:38:d2:67,-90,WPA2-Enterprise,1,real
Smith_9471,8f:ed:55:9d:63:a4,-87,WEP,5,real
Shop WiFi 4310,27:2b:e3:f6:55:fd,-46,WEP,8,fake
_Guest-_Guest1947-,8d:e3:0a:40:08:5b,-34,Open,4,fake
Apartment_6576,71:0d:e3:7a:61:ea,-73,WPA3,8,real
John-4364,3b:4b:57:2b:dd:4b,-45,WPA2,3,real
Apartment_8334,84:ff:68:74:66:c0,-64,WPA2,5,real
Dorm_5965,73:c1:6e:4e:1b:2f,-38,WPA2,11,real
mall free 4374,7d:37:11:5e:07:2f,-35,WPA3,9,fake
Smith-8168,35:d3:13:c6:da:ed,-89,WPA2,3,real
VodafoneGuest6989,e5:90:02:0c:da:ea,-64,WPA2,11,fake
Apartment-6977,71:2b:72:a2:bf:81,-45,WPA2-Enterprise,13,real
Lobby_Hotel2749,be:21:03:90:5f:6e,-66,Open,9,fake
AirportGuest5937,c2:f7:f7:6b:ce:6d,-59,WPA2-Enterprise,6,fake
Smith-7298,27:b3:28:e2:e7:cc,-83,Open,4,real
cafe_free_1586.,6e:47:41:c7:cc:e5,-61,WPA2,12,fake
Linda-9522,9a:31:45:29:40:eb,-77,WPA2-Enterprise,8,real
Linksys-3032,67:7f:77:54:28:6f,-87,WPA3,12,real
HotelGuest9686-,29:c9:81:f2:b3:19,-63,WPA2-Enterprise,11,fake
GuestNet442,ce:22:fa:48:d3:98,-32,WPA2-Enterprise,7,fake
Dorm-2274,a4:cf:89:f9:b1:38,-85,Open,3,real
free_wifi_3176,a2:0c:9d:fc:33:f9,-36,WPA3,3,fake
Smith-7372,35:42:22:f3:4c:13,-69,WEP,1,real
MyAP-6760,2e:76:a5:14:68:b0,-35,WPA2,8,real
Smith_5782,68:c8:cc:b0:6c:44,-86,WEP,3,real
TPLink_2847,cd:21:e0:bc:32:6a,-77,Open,2,real
NET_2012,8d:db:52:7d:74:e6,-87,WPA3,1,real
Secure_TPLink6002,a5:67:a4:26:3c:8d,-90,Open,9,fake
NET-1700,0a:0c:db:07:dc:71,-44,Open,1,real
Office-977,cd:21:e3:14:37:dd,-90,WEP,1,real
Anderson_2397,55:9c:ac:1c:fb:4d,-75,WPA2,4,real
FreeWiFi_445,c0:af:e3:bf:55:74,-80,WPA2-Enterprise,7,fake
Building-4941,29:d8:9d:1b:a0:d9,-45,WPA2-Enterprise,10,real
Linksys-955,b1:22:ed:18:91:8a,-61,Open,7,real
Dorm-5945,4a:f7:6a:b0:9c:45,-34,WEP,7,real
TPLink-8963,ff:ed:d7:f9:08:32,-39,WEP,7,fake
Residence-7892,b7:b0:3d:fb:88:c8,-39,WPA3,5,real
FreeWiFi_5650,99:d0:ea:16:18:5d,-52,WPA2-Enterprise,11,fake
Campus7346,4a:02:ce:ff:dd:c1,-36,WEP,4,fake
NET-8690,41:d6:32:c4:96:ae,-35,WPA2,1,real
Residence-4714,79:cf:71:7f:a1:90,-60,WEP,2,real
Office-829,22:c9:8d:12:a2:21,-75,WPA3,8,real
Home-2877,5d:6f:49:67:4d:96,-85,WEP,12,real
StarbucksGuest6889,ef:98:b6:bd:8c:c1,-60,WEP,9,fake
Building_8811,43:fd:69:44:a6:1b,-64,WEP,9,real
Network_Xfinity4549_,bd:83:58:be:45:f6,-35,WPA2-Enterprise,1,fake
Cafe-Cafe6927,9f:58:bf:03:f3:cc,-62,WPA2,3,fake
WiFi_Xfinity395,34:6f:76:27:1c:79,-59,WEP,3,fake
MyAP-9827,0e:be:50:03:50:79,-90,Open,6,real
TPLink-6438,6a:50:f4:f3:6f:d9,-58,WEP,9,real
Anderson-7990,ad:33:3d:64:64:12,-71,WPA2,10,real
TPLink-3007,a4:be:43:66:22:88,-54,WPA2-Enterprise,5,real
Linksys_Free_5446,9e:9a:17:ce:1a:32,-35,Open,13,fake
BTGuest5344,8d:6a:db:76:63:6e,-35,WPA2-Enterprise,12,fake
Anderson_1520,57:aa:ba:0d:29:d9,-31,WPA3,7,real
BT7984 Hotspot,30:39:78:66:b6:63,-37,WEP,1,fake
Building_2017,86:3a:4b:9a:18:d1,-58,WPA2,4,real
Mall5004 _Guest,83:e6:19:6b:54:a0,-70,WPA2,13,fake
Network-Network4529,53:1b:6a:6d:4a:b0,-63,WPA3,5,fake
TPLink_7831,af:d0:24:fc:1f:46,-59,WPA2-Enterprise,13,real
Airport_Free_3477,84:16:7b:06:e0:d8,-68,WPA2,2,fake
FreeWiFi_1604,c2:01:a8:b9:bf:f2,-54,WPA2-Enterprise,8,fake
Hotspot_BT7492,6d:15:08:ab:91:d8,-85,WPA3,12,fake
Campus-7986,8b:ee:f0:19:e9:cd,-66,WPA2-Enterprise,1,real
Smith-3541,1e:e1:6a:fe:e2:a4,-52,WPA3,13,real
John_7675,86:bc:b3:36:21:eb,-50,WPA2-Enterprise,3,real
Building-7190,9a:1c:02:3a:fc:fa,-62,WPA2,4,real
Anderson-1360,34:bb:18:2f:21:fb,-41,WPA2,10,real
TPLink5053,8f:a8:7a:4b:70:7e,-45,WPA2-Enterprise,11,fake
Linda_7117,35:85:0e:55:01:84,-83,WEP,8,real
MyWiFi-130,8e:f6:f6:b8:19:0e,-60,Open,1,fake
Tower_3604,c9:df:86:c8:f5:19,-46,WPA2-Enterprise,7,real
Tower_1472,54:83:7b:54:04:09,-32,WPA2,13,real
MyAP-6442,15:b1:60:f4:7c:d6,-64,WPA2-Enterprise,1,real
linksys-6433,81:81:71:31:8e:b5,-58,Open,3,fake
Office_443,01:5d:2d:c8:39:b4,-78,WPA2,8,real
John-9575,86:91:b4:38:34:16,-47,WEP,7,real
home1834,c7:43:68:b9:6e:02,-59,WEP,7,fake
Smith-7420,c2:2d:82:8a:f5:29,-82,WPA3,2,real
MyAP_623,7e:64:21:f3:6b:0d,-54,WPA2,9,real
Lobby224,16:65:39:c6:26:af,-65,WPA2-Enterprise,11,fake
TPLink_4834,03:9e:a8:c6:f3:a1,-48,WEP,7,real
Home_157,ca:e9:54:ea:9f:50,-57,WPA2,4,real
Apartment-2966,1d:32:56:97:36:ab,-63,Open,5,real
Secure789,f3:5b:c6:bf:b8:16,-34,WPA2,13,fake
TPLink-6050,32:6d:37:da:b0:c3,-35,WPA2-Enterprise,5,real
WiFi8682,e2:bf:a4:b7:bf:de,-62,WPA3,6,fake
Linda-2575,c2:15:a9:60:9c:46,-46,WPA3,13,real
Hotel9644 WiFi,ec:e6:a0:63:63:2f,-85,Open,9,fake
Cafe-4168,3c:aa:18:2f:d1:92,-68,WPA2-Enterprise,10,fake
NET-2513,23:bf:a6:07:64:11,-88,Open,3,real
TPLink_1157,04:e3:9a:6a:44:c7,-46,WEP,4,real
NET-998,81:e3:14:92:ac:6c,-72,Open,8,real
Smith_1346,90:42:e7:df:54:71,-40,WEP,7,real
shop-shop6163,26:f0:61:4f:f4:52,-88,WPA2,8,fake
Dorm_7323,40:6d:a2:b8:61:c5,-90,WEP,10,real
FreeWiFi_2,31:8a:50:1c:d8:22,-62,Open,7,fake
Apartment-2273,a6:70:c5:c2:16:5e,-86,WPA3,1,real
TPLink-4111,7f:0e:a5:a4:9c:95,-70,WPA2,3,real
tplink-tplink,df:2e:87:85:7c:bc,-36,WPA2-Enterprise,7,fake
John_9943,1f:ea:d1:6a:7c:51,-46,WEP,13,real
Smith_6795,0e:35:bc:96:4c:11,-40,WPA2-Enterprise,5,real
TPLink6691 Hotspot,78:8b:ec:68:0f:04,-72,WPA2-Enterprise,8,fake
LobbyGuest438,77:55:73:60:83:2d,-85,WPA2-Enterprise,10,fake
Cafe3530,53:3a:33:3b:50:a0,-83,WPA2-Enterprise,7,fake
Office_4745,66:6a:fa:9c:49:63,-47,WEP,3,real
John-6418,f4:e5:10:cb:d9:e4,-70,WPA2-Enterprise,2,real
Apartment-3712,c5:b7:91:fb:0a:a1,-48,Open,5,real
secure netgear9443,5a:0c:9d:87:35:bb,-80,Open,4,fake
MyAP_999,3a:54:d2:9e:75:2e,-72,WEP,1,real
Dorm_7356,40:8b:5b:2e:dc:11,-52,WPA2-Enterprise,3,real
LinksysGuest9884,3e:d4:c6:ab:a5:cb,-64,WPA2-Enterprise,9,fake
Linksys-2757,dd:b7:97:27:89:3f,-72,WPA3,9,real
Linda_1884,f3:70:89:ac:4a:b2,-83,WPA2-Enterprise,1,real
CafeGuest9247,20:96:3a:d1:e5:52,-46,WEP,10,fake
FreeWiFi_6966,aa:9e:38:b0:02:23,-55,WEP,3,fake
Residence_3834,59:c4:4f:7c:dc:7d,-73,Open,4,real
Cafe-Cafe9938,65:2e:91:47:57:88,-30,WPA2-Enterprise,6,fake
Network_Office9480#,1b:b2:e5:bf:4b:2f,-90,WPA2-Enterprise,9,fake
Tower_1822,57:bf:ae:b5:41:50,-86,WPA3,3,real
MyAP_3873,79:61:a2:fd:37:4b,-56,WPA2-Enterprise,5,real
Apartment_7192,c2:09:ab:e4:0b:71,-72,WPA3,11,real
TPLink-4840,e0:de:0d:5d:d4:6d,-77,WPA2-Enterprise,1,fake
Building_5225,44:d7:54:5a:0f:21,-61,WPA2,4,real
Dorm_1626,7e:f8:c9:46:45:98,-33,WPA2-Enterprise,6,real
Network-Network9514,1d:90:64:ed:28:c0,-87,WPA3,10,fake
cafe_campus2896,48:c5:06:d0:23:22,-62,WPA3,7,fake
Home_5590,f9:d3:ca:15:54:4d,-34,Open,5,real
Tower_7212,a7:87:54:d6:a6:7f,-44,WPA2,9,real
_Guest-_Guest2139,0e:e5:a6:e2:c3:60,-55,WPA3,8,fake
Office-2.4G,7c:44:6b:7e:02:cc,-82,WEP,3,real
Residence_4847,d1:c4:0d:a0:3b:47,-81,WPA3,4,real
Guest-Guest_,1c:a3:e6:b4:31:59,-60,WPA2,10,fake
Campus-787,8e:03:6e:ce:ad:61,-78,Open,4,real
Residence-6018,fb:ff:f4:02:7a:4a,-76,Open,9,real
Office3978 Home#,05:b8:50:67:30:8d,-90,WEP,7,fake
Dorm_1962,ab:01:f0:d4:4b:4a,-34,WPA2-Enterprise,2,real
Free-Free9255,01:31:fe:9e:38:92,-31,WPA2,4,fake
Shop-Shop5922,e1:36:7b:53:6b:2e,-43,WPA3,9,fake
NETGEAR_Free_7018,c4:cd:e7:67:7a:ed,-38,Open,13,fake
Home BT9047,0d:ac:29:df:b1:34,-36,WPA2-Enterprise,13,fake
MyWiFi-6910,cf:aa:e8:ad:f2:87,-32,WEP,4,fake
MyAP_1004,d7:f2:c1:91:c1:2d,-75,Open,13,real
Smith_2365,49:ba:b9:0f:3d:7c,-61,WPA2-Enterprise,7,real
Linda-7547,24:3f:c3:2c:d8:bf,-33,WPA2,5,real
Mall_WiFi_321,db:22:81:fc:f6:07,-32,WPA3,10,fake
FreeWiFi_6619,4d:d2:a8:18:d5:7c,-87,WPA2,6,fake
Residence-2427,5b:88:4b:dc:9a:74,-90,WPA2,7,real
xfinity-9772,d1:ca:ab:f8:18:4a,-68,WPA3,8,fake
Network-Network5281,ed:3d:f6:55:eb:99,-37,WPA2-Enterprise,4,fake
Linda_8522,1e:1c:1b:ca:74:89,-58,WPA3,3,real
TPLink Free 3836,b0:23:b2:b5:3b:d0,-66,WPA2,9,fake
Starbucks_WiFi_1893,4e:54:35:10:3b:63,-74,Open,10,fake
TPLink-6866,09:e0:e2:1b:0f:ae,-63,WPA3,10,real
Linksys-3357,2e:91:6a:60:42:2d,-57,WPA3,13,fake
Secure-Secure4006,60:e1:7b:b9:20:73,-35,WPA2,11,fake
Linda_4702,c9:0d:b7:fc:18:2b,-84,WPA2,6,real
Network-Network2882#,ad:9b:35:20:56:a3,-78,Open,6,fake
Cafe Mall4891_,dc:7b:63:4f:4b:bb,-50,Open,3,fake
Campus_7792,7b:9f:97:1b:91:eb,-82,WPA2,12,real
Building-1318,a2:9b:19:c5:bd:e7,-82,Open,10,real
Apartment_6179,80:f2:64:3e:7d:35,-88,WPA2-Enterprise,13,real
Campus_1260,03:f2:72:6b:7b:11,-61,WPA2-Enterprise,2,real
Smith-1503,44:f7:8f:1e:37:2c,-42,WEP,5,real
Vodafone WiFi 8127,ea:d9:e7:fa:06:30,-72,WPA2-Enterprise,11,fake
FreeWiFi 309,bd:c4:69:97:0e:02,-82,WPA2-Enterprise,6,fake
Campus_Free_1104,60:82:23:ca:b1:b0,-44,WPA2,7,fake
MyAP-5243,e7:2f:e1:6d:2d:75,-83,WPA3,1,real
MyWiFi7758,68:1e:fa:a3:08:c7,-40,Open,12,fake
BT-B,bf:f4:08:31:97:46,-82,WPA3,3,fake
Vodafone_WiFi_538,93:bc:83:6f:a8:2c,-72,WEP,11,fake
McDonalds-7270,68:aa:ee:f0:1b:db,-66,WEP,5,fake
John-6015,e5:18:c5:ff:80:b6,-80,WPA2,9,real
Residence-4707,30:dc:4e:bb:9c:77,-58,WEP,2,real
Guest-eu,53:0e:9f:28:c9:33,-58,WEP,7,fake
freewifi_6951,5d:d4:d9:4d:1d:8f,-83,WPA3,6,fake
FreeWiFi_469,4f:98:22:09:fd:43,-82,WPA2,2,fake
BTGuest6023,0b:22:43:de:da:de,-55,WEP,4,fake
Apartment-9163,40:24:06:2f:3b:c1,-66,Open,8,real
Building-6970,7d:00:da:d2:73:64,-84,WPA2,1,real
NET_1601,5e:06:b3:42:c9:c3,-68,Open,5,real
Tower_3708,6d:53:c3:75:66:a6,-39,Open,7,real
XfinityGuest8099!,41:11:a4:cb:13:54,-39,WPA2-Enterprise,1,fake
Apartment_4477,50:39:45:f0:e7:1f,-65,WEP,1,real
Lobby5125 Free,5d:14:19:24:c3:94,-41,WPA3,1,fake
Secure-Secure586,45:3f:e9:3d:1f:33,-51,WEP,10,fake
 guest lobby4447,3f:cf:29:a8:53:ab,-62,WEP,1,fake
Home_3316,8c:23:33:c6:e1:36,-90,Open,1,real
Building_5215,49:48:22:14:f6:72,-41,WPA3,6,real
Linksys-6790,c3:0b:b9:34:da:d5,-46,WPA3,6,real
Linksys-4869,77:6a:e8:23:2c:6a,-70,WPA2,5,real
Campus_4159,bb:7e:ca:7c:79:71,-48,WPA3,5,real
Dorm_4413,9a:05:ba:f8:f6:8b,-67,WPA3,3,real
Hotel-4748,7c:a4:70:17:07:85,-47,WEP,1,fake
Residence_9518,3d:56:ed:b8:3c:5c,-65,Open,9,real
GuestNet-GuestNet4177,ef:ff:30:a3:33:c3,-86,WPA2,13,fake
hotel6001 home,92:57:e7:88:a5:82,-50,WPA3,7,fake
Guest8431 Cafe,00:a9:b5:80:dd:2d,-78,WPA2-Enterprise,7,fake
Smith_3450,8d:0b:49:81:3b:c4,-54,WEP,10,real
Starbucks_WiFi_4246,38:5e:a5:3f:46:3c,-63,WEP,2,fake
Cafe_Free_3134,35:cf:fc:69:f3:e0,-36,WPA2-Enterprise,1,fake
Home_5521,bb:fc:11:55:6e:37,-77,WPA2-Enterprise,5,real
McDonalds_WiFi_7561,2e:70:34:86:29:fb,-88,WPA2,13,fake
FreeWiFi_5865,c4:5d:ec:32:c0:6d,-77,WPA2,2,fake
Dorm-9689,05:57:b7:3e:73:35,-69,WPA3,1,real
Smith_6186,9e:c5:bc:79:f8:bc,-69,WEP,4,real
freewifi_2613,c5:70:a3:2c:5b:00,-38,WPA2-Enterprise,3,fake
Xfinity Free 9499,b9:0e:59:c8:09:58,-69,WPA2,6,fake
MyAP_6080,d0:59:56:6a:6a:b4,-80,WPA2,7,real
McDonalds_Free_1591,a6:f6:4e:be:26:05,-67,WPA2,9,fake
Smith-435,32:5e:71:dc:07:64,-47,WEP,1,real
Anderson_7561,58:26:10:55:fb:76,-64,WEP,4,real
Shop_Guest,88:ac:f5:1e:75:bb,-67,WPA2,5,fake
John_3751,62:df:ad:f5:d9:65,-62,WPA3,13,real
Smith_8728,10:37:3f:83:ca:db,-33,WPA2-Enterprise,9,real
Building-8428,a9:ba:61:f1:5d:5f,-57,WPA2-Enterprise,9,real
Linda-4987,3c:79:55:3a:20:17,-45,Open,6,real
TPLink-3434,5f:83:84:d9:36:f0,-70,Open,3,real
Campus_WiFi_3085,f4:f7:03:fb:c5:72,-62,WPA3,6,fake
Smith_9523,99:e1:c3:a2:6a:c7,-69,Open,9,real
Anderson-8448,ee:02:2b:31:c1:5d,-41,WEP,6,real
Building_3190,c9:40:11:ea:82:fa,-61,WEP,9,real
Free_Xfinity9243,c1:53:fd:c5:8e:af,-66,WPA2-Enterprise,7,fake
Home_Library7387,4d:88:89:a1:35:e9,-68,WPA2,12,fake
Residence_6788,13:fa:52:08:f7:af,-70,WPA2-Enterprise,13,real
TPLink WiFi 7709,7a:cc:b9:f3:87:52,-32,Open,11,fake
TPLink_963,ff:48:47:b0:56:96,-88,Open,5,real
public_cafe6546,73:5e:09:e3:c6:06,-74,WEP,1,fake
Shop-Shop3134,ec:b8:88:e6:84:84,-63,Open,9,fake
Campus_6194,39:5f:4e:52:30:53,-45,Open,9,real
vodafone_free_6761!,fb:cb:37:f4:c5:c9,-57,WPA3,5,fake
Tower_1328,11:5a:cf:1e:93:bc,-84,WPA2-Enterprise,6,real
Campus-7622,b1:71:9e:04:a5:21,-36,WPA3,9,real
Apartment_2281,bd:69:11:0a:4e:29,-83,WPA2,2,real
XfinityGuest2000,f2:54:89:bb:a4:cc,-63,WPA3,10,fake
Free6664 Home,c7:7f:94:bc:04:a6,-59,Open,6,fake
Tower-3253,a2:6e:52:9c:b6:c9,-85,WPA2,13,real
MyAP-3189,7c:88:e0:3d:02:65,-86,Open,2,real
wifi4813,3e:90:85:1d:b2:10,-73,Open,9,fake
Office-1629,6a:0a:27:52:f7:7d,-55,Open,11,real
Starbucks_WiFi_3534,8a:b9:6c:a3:ac:f1,-86,Open,13,fake
Dorm_4239,b0:ff:d0:67:b6:bb,-83,WEP,10,real
FreeWiFi_2982,19:ba:90:13:8c:bb,-48,WPA3,12,fake
FreeWiFi 837,c0:fd:72:98:59:24,-45,Open,2,fake
Home-985,7e:97:fe:2a:e3:ad,-78,WPA2-Enterprise,11,real
Linksys_Free_2873,c6:e2:bf:10:cb:bf,-61,WPA3,3,fake
Campus-8699,3a:8f:d5:38:b5:e2,-77,WPA2-Enterprise,1,real
Home_2232,0b:e7:04:83:ae:cd,-48,WPA2,3,real
McDonaldsGuest6215,7b:50:e2:8a:a5:1b,-59,Open,2,fake
Home_1162,ad:b4:00:cb:31:c1,-72,Open,7,real
Campus-6487,83:42:2d:d1:08:40,-36,WPA3,1,real
Tower-5039,2f:a3:b5:ee:02:d4,-42,WPA2,12,real
LobbyGuest8957,bd:fd:0b:75:b8:c7,-88,WPA2,8,fake
NET-6006,b6:27:05:38:5a:99,-61,WEP,13,real
Office-5518,97:7c:39:70:99:28,-65,WPA2-Enterprise,5,real
Linksys_5150,1e:02:44:4b:f5:0d,-89,WPA3,1,real
mall free 734-,26:4c:4e:43:83:87,-34,Open,4,fake
Building_8335,d1:7f:07:74:d5:f1,-56,WPA3,5,real
Starbucks_WiFi_2523,1e:7c:e8:b9:fd:1d,-36,WPA3,2,fake
McDonalds WiFi 2432,a4:42:3e:db:84:dd,-48,WEP,13,fake
Library581 Hotspot,e3:86:19:12:63:c0,-44,WPA2,7,fake
netgearguest6978,84:63:fe:fd:07:24,-36,WPA2,4,fake
Apartment-2.4G,d3:4c:fa:5e:fa:ca,-38,WPA3,10,real
Linksys1973 Free,3e:0d:6b:fe:59:cb,-34,Open,3,fake
ShopGuest6263,2f:c5:7d:19:fb:c7,-66,Open,3,fake
Campus_710,9e:f1:e7:19:0d:f4,-30,Open,7,real
John_4622,4f:b9:28:6f:75:d4,-33,WPA2-Enterprise,13,real
Campus-6504,2e:9d:03:0b:a7:f4,-63,WEP,12,real
Smith-5856,6d:49:3b:54:5c:e1,-52,Open,9,real
Linda_46,57:2f:60:92:ed:68,-34,WEP,6,real
Apartment_4924,ed:c6:c7:d7:29:8e,-83,WPA2-Enterprise,7,real
Linksys_5121,ad:20:55:f2:e0:f1,-35,WPA2,8,real
NETGEAR-RTN,c8:06:f9:f9:88:5b,-76,WPA3,13,fake
guest1783,70:3c:d0:7b:83:fc,-41,WPA2-Enterprise,4,fake
LinksysGuest7562,c6:53:45:83:d6:e5,-70,WPA2-Enterprise,2,fake
_guest-_guest6431_,f7:ad:6f:27:0d:07,-80,WPA2-Enterprise,3,fake
Linksys-8505,3d:f1:25:33:ec:70,-48,WEP,10,real
Campus_8529,f6:2a:a6:5c:58:4d,-82,WEP,11,real
TPLink_2060,83:0a:06:a4:c7:b8,-64,WPA2,13,real
Smith-7389,d3:53:2c:e6:12:e0,-70,WEP,4,real
Linda_9707,c5:ab:2f:93:de:e3,-52,WPA3,6,real
Shop6888 Office.,31:80:53:16:26:74,-52,Open,13,fake
NET-2233,72:83:27:04:ac:41,-47,WPA3,7,real
Smith-5873,f0:75:a8:72:d6:b6,-60,WPA2,12,real
TPLink-iTP.,c8:39:9c:5e:1e:91,-32,WPA3,1,fake
Home-477,6f:12:6f:6d:22:68,-38,WPA2-Enterprise,13,real
John_6649,c2:c8:1c:94:bf:b4,-75,WPA2,8,real
BTGuest1537,43:dc:78:d7:47:7b,-78,WPA3,6,fake
